날짜,시:분,온도 (℃),습도 (%),CO2 (ppm),토양온도 (℃),토양 EC (dS/m),토양수분 (%),일사 (w/㎡),EC (dS/m),pH (pH)
2022-07-20,15:00,35.05,63.13,217.58,32.12,0.54,26.63,297.07,3.39,6.85
2022-07-20,14:00,35.6,61.07,221.17,31.52,0.53,26.8,196.62,3.23,6.92
2022-07-20,13:00,34.15,65.41,225.83,31.03,0.52,26.78,177.13,3.25,7.08
2022-07-20,12:00,33.61,65.83,231.33,30.4,0.51,26.96,158.69,3.15,7.22
2022-07-20,11:00,32.54,69.43,233.25,29.33,0.51,27.21,187.06,3.03,7.33
2022-07-20,10:00,31.32,70.8,229.75,28.22,0.51,27.28,328.86,3.06,7.48
2022-07-20,9:00,29.87,79.95,233.25,27.1,0.51,27.6,294.51,3,7.51
2022-07-20,8:00,29.87,79.95,233.25,27.1,0.51,27.6,294.51,3,7.51
2022-07-20,7:00,-,-,-,-,-,-,-,-,-
2022-07-20,6:00,-,-,-,-,-,-,-,-,-
2022-07-20,5:00,-,-,-,-,-,-,-,-,-
2022-07-20,4:00,-,-,-,-,-,-,-,-,-
2022-07-20,3:00,-,-,-,-,-,-,-,-,-
2022-07-20,2:00,-,-,-,-,-,-,-,-,-
2022-07-20,1:00,-,-,-,-,-,-,-,-,-
2022-07-20,0:00,-,-,-,-,-,-,-,-,-
2022-07-21,23:00,23.35,95.28,319.42,24.82,0.52,26.93,0,3.2,7.39
2022-07-21,22:00,23.69,94.74,305.67,25.18,0.52,26.9,0,3.18,7.29
2022-07-21,21:00,23.77,92.53,295.25,25.53,0.53,26.89,0,3.22,7.17
2022-07-21,20:00,24.28,88.55,278.92,26.1,0.52,26.83,0,3.21,7.02
2022-07-21,19:00,25.06,83.59,262.5,26.68,0.53,26.8,8.06,3.26,6.9
2022-07-21,18:00,26.28,77.08,245.42,27.31,0.52,26.84,51.97,3.23,6.84
2022-07-21,17:00,27.76,75.02,236.25,27.61,0.53,27.07,155.8,3.23,6.85
2022-07-21,16:00,27.63,73.8,236.92,27.7,0.54,27.27,144.16,3.22,6.86
2022-07-21,15:00,28.1,74.48,236.5,27.52,0.53,27.2,239.28,3.21,6.91
2022-07-21,14:00,27.83,74.98,235.58,27.51,0.53,27.31,192.72,3.24,6.94
2022-07-21,13:00,27.23,77.67,241.83,27.37,0.54,27.3,172.81,3.22,7.18
2022-07-21,12:00,27.92,78.27,246.08,27.38,0.54,27.33,224.54,3.25,7.39
2022-07-21,11:00,27.74,84.45,261.5,27.16,0.54,27.28,182.26,3.31,7.44
2022-07-21,10:00,27.17,90.93,237.83,26.73,0.53,27.03,155.07,3.23,7.49
2022-07-21,9:00,26.58,95.15,244.83,26.2,0.5,25.98,111.35,3.24,7.51
2022-07-21,8:00,25.86,93.09,250.25,25.93,0.5,26.15,69.76,3.23,7.55
2022-07-21,7:00,25.69,93.34,257.91,25.73,0.51,26.26,45.82,3.29,7.56
2022-07-21,6:00,25.19,97.81,269.67,25.57,0.51,26.33,21.65,3.26,7.57
2022-07-21,5:00,24.41,99.03,304.25,25.53,0.52,26.38,0,3.28,7.54
2022-07-21,4:00,24.39,99.21,403.75,25.65,0.52,26.4,0,3.3,7.49
2022-07-21,3:00,24.33,98.89,393,25.86,0.53,26.38,0,3.33,7.42
2022-07-21,2:00,24.46,98.23,380.58,26.23,0.53,26.32,0,3.36,7.34
2022-07-21,1:00,25.02,98.61,374.27,26.7,0.53,26.3,0,3.39,7.27
2022-07-21,0:00,25.38,98.33,359.17,27.09,0.54,26.3,0,3.4,7.21
2022-07-22,23:00,23.13,93.85,339.08,25.2,0.54,26.6,0,3.37,7.43
2022-07-22,22:00,23.6,93.15,323.33,25.83,0.56,26.56,0,3.47,7.28
2022-07-22,21:00,24.11,92.21,296.25,26.5,0.56,26.5,0,3.51,7.11
2022-07-22,20:00,24.74,89.83,276.5,27.31,0.56,26.49,0,3.52,6.96
2022-07-22,19:00,25.77,83.21,255.83,28.25,0.56,26.47,8.63,3.56,6.83
2022-07-22,18:00,27.47,72.52,234.42,29.17,0.57,26.53,69.6,3.58,6.77
2022-07-22,17:00,29.07,67.82,227.83,29.84,0.57,26.69,180.71,3.57,6.75
2022-07-22,16:00,29.99,69.83,217.08,30.12,0.58,27.02,314.08,3.56,6.77
2022-07-22,15:00,32.44,61.68,219.33,30.76,0.57,26.8,267.89,3.58,6.88
2022-07-22,14:00,32.99,61.79,216.75,30.46,0.57,26.87,217.01,3.47,6.9
2022-07-22,13:00,31.66,63.36,223.08,30.25,0.56,26.81,233.66,3.36,6.95
2022-07-22,12:00,32.81,63.75,219.58,30.03,0.54,26.82,173.75,3.37,7.15
2022-07-22,11:00,32.1,69.25,220.75,29.18,0.55,27.04,207.16,3.36,7.29
2022-07-22,10:00,31.55,69.29,216.17,28.03,0.53,27.46,375.13,3.14,7.43
2022-07-22,9:00,29.77,75.51,215.58,26.68,0.53,27.49,303.62,3.19,7.63
2022-07-22,8:00,27.89,79.75,224.42,25.42,0.5,27.11,214.9,2.97,7.65
2022-07-22,7:00,24.82,96.07,256.42,24.3,0.49,26.86,107.12,3.04,7.68
2022-07-22,6:00,23.43,98.88,330.08,23.91,0.51,26.91,38.38,3.11,7.66
2022-07-22,5:00,22.89,98.48,338.08,23.98,0.51,26.9,3.79,3.11,7.62
2022-07-22,4:00,23.47,99.17,359.42,24.28,0.51,26.93,0,3.14,7.58
2022-07-22,3:00,23.61,99.18,370.33,24.38,0.51,26.92,0,3.14,7.56
2022-07-22,2:00,23.64,98.71,355.75,24.46,0.51,27,0,3.09,7.53
2022-07-22,1:00,23.65,98.06,347.82,24.54,0.52,26.98,0,3.16,7.51
2022-07-22,0:00,23.47,96.82,338.17,24.55,0.52,26.98,0,3.16,7.46
2022-07-23,23:00,23.88,96.37,310.33,25.37,0.53,27.2,0,3.16,7.52
2022-07-23,22:00,24.1,94.38,292.33,25.75,0.53,27.19,0,3.17,7.43
2022-07-23,21:00,24.6,91.7,274.08,26.17,0.53,27.15,0,3.21,7.33
2022-07-23,20:00,24.65,90.05,262.17,26.53,0.53,27.1,0,3.18,7.22
2022-07-23,19:00,25.23,87.77,261.33,27.18,0.53,27.1,3.42,3.23,7.12
2022-07-23,18:00,26.29,85.18,260,27.73,0.54,27.11,0,3.25,7.04
2022-07-23,17:00,27.3,78.28,239.92,28.19,0.53,27.19,37.08,3.23,6.99
2022-07-23,16:00,28.4,75.74,226.5,28.48,0.54,27.2,84.74,3.23,6.99
2022-07-23,15:00,28.64,75.2,221.17,28.45,0.54,27.28,125.89,3.28,7.03
2022-07-23,14:00,29.04,74.82,226.67,28.5,0.53,27.24,154.46,3.26,7.08
2022-07-23,13:00,29.79,71.03,224.42,28.6,0.53,27.24,194.87,3.21,7.18
2022-07-23,12:00,29.7,73.3,223,28.17,0.53,27.36,234.92,3.18,7.23
2022-07-23,11:00,29.7,71.63,224.42,27.72,0.53,27.48,248.43,3.17,7.3
2022-07-23,10:00,28.83,72.12,231.58,27.13,0.54,27.6,190.27,3,7.4
2022-07-23,9:00,28.34,75.99,226.83,26.14,0.53,27.55,269.44,3.2,7.57
2022-07-23,8:00,27.26,80.47,254.17,25.1,0.51,26.92,212.21,3.03,7.73
2022-07-23,7:00,25.32,91.78,311.92,24.06,0.5,26.58,143.31,3.16,7.78
2022-07-23,6:00,22.99,98.37,425.5,23.26,0.52,26.7,68.3,3.2,7.81
2022-07-23,5:00,22.24,98.04,444.08,23.16,0.53,26.7,3.79,3.26,7.81
2022-07-23,4:00,22.09,97.03,435.5,23.27,0.52,26.73,0,3.23,7.78
2022-07-23,3:00,22.06,95.95,420.75,23.48,0.54,26.7,0,3.32,7.75
2022-07-23,2:00,22.29,95.5,402.67,23.85,0.54,26.7,0,3.32,7.7
2022-07-23,1:00,22.53,94.93,381.92,24.23,0.54,26.68,0,3.36,7.64
2022-07-23,0:00,22.81,94.56,361.27,24.68,0.54,26.62,0,3.4,7.55
2022-07-24,23:00,24.54,97.43,289,25.88,0.51,27.3,0,3.05,7.59
2022-07-24,22:00,24.74,96.47,281.5,26.11,0.51,27.3,0,3.03,7.5
2022-07-24,21:00,24.76,94.7,275,26.38,0.51,27.27,0,3.08,7.41
2022-07-24,20:00,25.15,92.76,268.58,26.83,0.51,27.21,0,3.08,7.32
2022-07-24,19:00,25.84,89.42,260.42,27.33,0.52,27.2,9.36,3.12,7.25
2022-07-24,18:00,26.86,85.98,252.17,27.76,0.51,27.28,53.48,3.1,7.24
2022-07-24,17:00,27.57,85.68,245.17,28.03,0.52,27.46,77.29,3.07,7.24
2022-07-24,16:00,27.75,85.94,239.25,28.17,0.52,27.47,98.21,3.06,7.27
2022-07-24,15:00,28.11,84.68,235.25,28.24,0.52,27.58,133.05,3.09,7.31
2022-07-24,14:00,28.29,84.65,231.42,28.16,0.52,27.6,180.38,3.08,7.38
2022-07-24,13:00,29.32,89.85,210,27.82,0.52,27.69,221.94,3.08,7.49
2022-07-24,12:00,27.62,93.33,216.33,27.08,0.52,27.69,109,3.07,7.48
2022-07-24,11:00,27.12,87.83,225.67,26.7,0.52,27.56,127.84,3.11,7.56
2022-07-24,10:00,26.79,89.16,232.33,26.27,0.53,27.63,152.02,3.06,7.66
2022-07-24,9:00,27.28,90.03,233,25.96,0.51,27.4,135.86,3,7.72
2022-07-24,8:00,25.49,95.56,242.42,25.08,0.5,26.96,103.87,3.07,7.74
2022-07-24,7:00,24.53,96.25,255.92,24.76,0.5,27.09,53.28,3.04,7.76
2022-07-24,6:00,24.08,99.13,273.75,24.7,0.51,27.13,19.01,3.1,7.76
2022-07-24,5:00,23.89,99.18,287.08,24.7,0.51,27.18,0,3.07,7.75
2022-07-24,4:00,23.93,99.18,366,24.7,0.51,27.2,0,3.1,7.73
2022-07-24,3:00,23.89,99.17,372.17,24.8,0.52,27.2,0,3.1,7.72
2022-07-24,2:00,23.91,99.18,353.17,24.89,0.52,27.2,0,3.15,7.7
2022-07-24,1:00,23.87,98.68,341.25,25,0.53,27.2,0,3.17,7.66
2022-07-24,0:00,23.86,97.72,322.18,25.15,0.52,27.2,0,3.16,7.6
2022-07-25,23:00,24,95.4,354.55,26.37,0.54,26.3,0,3.45,6.98
2022-07-25,22:00,24.45,94.06,335.33,26.92,0.55,26.3,0,3.49,6.89
2022-07-25,21:00,24.92,92.36,310.33,27.56,0.55,26.3,0,3.49,6.79
2022-07-25,20:00,25.43,88.78,287.58,28.33,0.56,26.25,0,3.53,6.68
2022-07-25,19:00,26.85,81.7,263.25,29.45,0.55,26.27,11.84,3.52,6.58
2022-07-25,18:00,28.94,72.88,243.5,30.42,0.56,26.35,72.53,3.55,6.53
2022-07-25,17:00,30.79,67.93,234.42,31.03,0.58,26.58,187.42,3.68,6.55
2022-07-25,16:00,32.6,64.39,230.92,31.62,0.57,26.91,346.11,3.5,6.58
2022-07-25,15:00,34.59,60.98,224.5,31.78,0.56,26.95,333.25,3.35,6.65
2022-07-25,14:00,35.71,63.13,231.25,31.35,0.54,26.89,177.49,3.36,6.74
2022-07-25,13:00,34.24,67.98,227.33,30.71,0.54,27.27,169.19,3.29,6.8
2022-07-25,12:00,32.3,72.32,228.83,29.79,0.52,27.19,242.04,3.2,6.96
2022-07-25,11:00,31.75,71.53,234.33,29.2,0.51,27.38,233.7,3.06,7.03
2022-07-25,10:00,31.35,74.84,232.5,27.92,0.51,27.59,347.3,3,7.74
2022-07-25,9:00,28.5,84.17,231.42,26.63,0.51,27.83,185.39,2.89,7.85
2022-07-25,8:00,27.1,89.93,233.25,25.76,0.49,26.97,153.44,2.99,7.86
2022-07-25,7:00,25.44,97.31,247.75,25.14,0.49,27.18,80.95,2.98,7.86
2022-07-25,6:00,24.21,99.19,275.83,24.9,0.5,27.23,39.76,3,7.86
2022-07-25,5:00,23.93,99.21,279.08,24.93,0.5,27.3,1.79,2.99,7.83
2022-07-25,4:00,24.1,99.19,302.83,25.07,0.5,27.3,0,2.99,7.8
2022-07-25,3:00,24.19,99.18,299,25.2,0.51,27.3,0,3.03,7.77
2022-07-25,2:00,24.27,99.19,297.08,25.35,0.5,27.3,0,3.01,7.75
2022-07-25,1:00,24.34,99.12,294.5,25.5,0.5,27.3,0,3.02,7.71
2022-07-25,0:00,24.45,98.53,293.36,25.65,0.5,27.3,0,3.01,7.66
2022-07-26,23:00,25.71,96.96,358.73,27.51,0.54,26.57,0,3.36,6.46
2022-07-26,22:00,26.12,95.84,331.42,27.85,0.54,26.54,0,3.38,6.44
2022-07-26,21:00,25.98,92.33,308.08,28.14,0.55,26.52,0,3.45,6.42
2022-07-26,20:00,26.16,88.07,289.17,28.72,0.56,26.5,0,3.48,6.39
2022-07-26,19:00,26.98,83.79,268.25,29.58,0.56,26.49,6.35,3.5,6.34
2022-07-26,18:00,28.54,77.85,256.58,30.59,0.56,26.52,57.51,3.5,6.28
2022-07-26,17:00,30.83,70.48,245.08,31.68,0.56,26.71,156.53,3.48,6.23
2022-07-26,16:00,33.07,67.53,237.5,32.47,0.57,26.99,298.01,3.45,6.25
2022-07-26,15:00,34.98,64.4,244.5,32.63,0.56,26.79,299.96,3.46,6.34
2022-07-26,14:00,35.38,65.74,240,32.23,0.56,26.98,206.88,3.39,6.4
2022-07-26,13:00,34.18,69.83,232.25,31.88,0.55,26.85,193.24,3.43,6.5
2022-07-26,12:00,34.27,69.92,235,31.35,0.54,26.96,200.73,3.36,6.64
2022-07-26,11:00,34.12,65.81,251.33,30.83,0.54,27.07,219.58,3.31,6.77
2022-07-26,10:00,33.62,70.55,242.83,29.65,0.54,27.34,425.27,3.2,6.99
2022-07-26,9:00,31.74,74.97,261.25,28.01,0.54,27.37,379.77,3.27,7.19
2022-07-26,8:00,28.72,85.12,295.5,26.24,0.51,26.58,250.06,3.05,7.09
2022-07-26,7:00,26.01,96.54,325.75,25.08,0.5,26.26,139.07,3.23,7.15
2022-07-26,6:00,23.92,99.19,405.5,24.46,0.51,26.38,53.07,3.25,7.17
2022-07-26,5:00,23.3,99.13,433.67,24.47,0.52,26.4,1.87,3.26,7.18
2022-07-26,4:00,23.35,98.6,443.92,24.7,0.52,26.4,0,3.29,7.19
2022-07-26,3:00,23.65,98.6,430.67,25,0.53,26.4,0,3.33,7.2
2022-07-26,2:00,23.93,98.42,415.33,25.27,0.53,26.4,0,3.33,7.17
2022-07-26,1:00,23.81,97.4,394.08,25.47,0.53,26.39,0,3.36,7.12
2022-07-26,0:00,23.74,96.63,373.33,25.89,0.54,26.31,0,3.42,7.05
2022-07-27,23:00,25.46,94.14,377.55,27.79,0.52,25.95,0,3.35,6.49
2022-07-27,22:00,25.99,93.44,382.58,28.37,0.52,25.95,0,3.38,6.37
2022-07-27,21:00,26.27,89.23,340.5,28.99,0.52,25.9,0,3.38,6.23
2022-07-27,20:00,27.19,81.39,319,29.88,0.53,25.9,0,3.44,6.09
2022-07-27,19:00,28.88,72.06,260.67,30.94,0.53,25.94,5.9,3.46,5.97
2022-07-27,18:00,30.9,63.58,235.25,31.75,0.53,26.13,59.1,3.45,5.9
2022-07-27,17:00,32.64,59.89,225.42,32.26,0.54,26.48,162.84,3.43,5.94
2022-07-27,16:00,34.28,58.52,217.42,32.63,0.55,26.88,319.82,3.37,6.03
2022-07-27,15:00,36.08,55.2,220.83,32.77,0.54,26.94,314.61,3.29,6.06
2022-07-27,14:00,37.5,55.99,223.5,32.42,0.52,26.87,175.74,3.28,6.16
2022-07-27,13:00,35.22,59.24,227,31.84,0.53,27.16,188.77,3.23,6.2
2022-07-27,12:00,34.75,59.56,240.17,31.12,0.51,27.04,252.55,3.18,6.29
2022-07-27,11:00,33.6,64.66,255.17,30.2,0.52,27.21,217.38,3.14,6.42
2022-07-27,10:00,32.69,69.45,257,28.99,0.52,27.51,374.07,3.09,6.53
2022-07-27,9:00,29.37,80.03,267.83,27.31,0.54,27.5,254.7,3.01,6.61
2022-07-27,8:00,27.78,92.11,310.42,26.52,0.5,26.35,133.58,3.17,6.63
2022-07-27,7:00,26.02,98.99,376.58,25.68,0.51,26.55,89.46,3.19,6.65
2022-07-27,6:00,24.43,99.2,463.5,25.18,0.51,26.6,37.93,3.19,6.65
2022-07-27,5:00,23.84,98.92,463.25,25.31,0.53,26.61,3.79,3.27,6.63
2022-07-27,4:00,24.14,98.89,461.58,25.66,0.52,26.6,0,3.23,6.59
2022-07-27,3:00,24.48,98.85,444,26.04,0.53,26.6,0,3.28,6.56
2022-07-27,2:00,24.79,98.65,417,26.43,0.53,26.6,0,3.31,6.53
2022-07-27,1:00,25.33,98.91,399.92,26.86,0.53,26.59,0,3.31,6.51
2022-07-27,0:00,25.61,98.29,374.08,27.18,0.53,26.6,0,3.33,6.49
2022-07-28,23:00,25.93,94.52,382.33,28.03,0.53,26.34,0,3.35,6.57
2022-07-28,22:00,26.18,92.71,353.27,28.59,0.54,26.33,0,3.41,6.45
2022-07-28,21:00,26.67,89.72,325,29.28,0.53,26.3,0,3.39,6.32
2022-07-28,20:00,27.36,82.96,302.08,30.13,0.54,26.3,0,3.43,6.17
2022-07-28,19:00,28.85,78.69,287.5,31.15,0.54,26.29,8.3,3.45,6.02
2022-07-28,18:00,30.79,73.01,262.83,32.06,0.55,26.4,60.76,3.46,5.96
2022-07-28,17:00,32.32,69.53,240.83,32.68,0.56,26.66,156.9,3.52,6.04
2022-07-28,16:00,34.77,64.39,221.92,33.35,0.56,26.9,290.84,3.39,6.13
2022-07-28,15:00,36.68,59.71,222,33.27,0.55,26.65,326.95,3.39,6.14
2022-07-28,14:00,37.11,58.03,223.58,32.77,0.54,26.88,217.91,3.22,6.21
2022-07-28,13:00,35.48,60.59,224.5,32.33,0.54,26.8,167.32,3.4,6.32
2022-07-28,12:00,34.97,62.5,230.75,31.57,0.53,26.88,160.89,3.29,6.43
2022-07-28,11:00,34.23,59.45,238.92,30.63,0.53,27.07,192.1,3.24,6.57
2022-07-28,10:00,33.34,60.53,237.25,29.36,0.53,27.27,421.2,3.09,6.73
2022-07-28,9:00,31.1,70.48,242.92,27.76,0.53,27.29,368.33,3.2,6.8
2022-07-28,8:00,28.63,78.23,251.92,26.27,0.49,26.28,248.15,2.95,6.96
2022-07-28,7:00,25.82,90.28,262.67,25.18,0.48,25.93,134.51,3.13,7.1
2022-07-28,6:00,23.85,96.39,304.5,24.75,0.49,26.08,52.99,3.17,7.11
2022-07-28,5:00,23.38,96.23,357.67,24.97,0.5,26.1,3.58,3.22,7.05
2022-07-28,4:00,23.68,96.18,378.33,25.38,0.5,26.06,0,3.21,6.98
2022-07-28,3:00,24,95.66,368.5,25.75,0.5,26.06,0,3.23,6.92
2022-07-28,2:00,24.26,95.17,364.92,26.12,0.5,26.03,0,3.25,6.83
2022-07-28,1:00,24.53,94.57,362.92,26.57,0.51,26,0,3.32,6.72
2022-07-28,0:00,24.91,94.23,357.42,27.2,0.51,26,0,3.31,6.61
2022-07-29,23:00,27.75,95.86,366.42,30.05,0.55,25.5,0,3.69,6.18
2022-07-29,22:00,28.26,94.04,340.55,30.69,0.56,25.5,0,3.73,6.09
2022-07-29,21:00,28.77,89.52,311.25,31.36,0.56,25.52,0,3.73,5.98
2022-07-29,20:00,29.69,81.73,282.83,32.14,0.56,25.57,0,3.7,5.87
2022-07-29,19:00,30.94,74.68,262.5,33.08,0.57,25.65,3.66,3.75,5.82
2022-07-29,18:00,33.78,66.5,238.25,34.03,0.57,25.9,78.02,3.76,5.95
2022-07-29,17:00,35.19,66.28,226.25,34.12,0.58,26.48,187.87,3.73,6.08
2022-07-29,16:00,35.67,68.03,217.92,34.13,0.59,26.88,264.75,3.62,6.16
2022-07-29,15:00,36.9,62.12,220,34.15,0.58,26.74,214.82,3.68,6.17
2022-07-29,14:00,39.01,56.32,227.17,34.33,0.56,26.64,204.36,3.34,6.2
2022-07-29,13:00,37.65,66.98,220.92,33.87,0.55,26.66,180.22,3.47,6.32
2022-07-29,12:00,36.29,63.78,232.83,32.97,0.54,26.74,163.13,3.42,6.4
2022-07-29,11:00,35.7,66.09,241.67,32.31,0.53,26.8,184.17,3.25,6.54
2022-07-29,10:00,35.39,66.54,248.33,31.06,0.52,27.12,446.15,3.1,6.72
2022-07-29,9:00,33.32,68.88,264.92,29.47,0.52,27.23,402.81,3.21,6.89
2022-07-29,8:00,30.69,78.35,291.5,27.86,0.5,26.52,261.46,3.01,6.88
2022-07-29,7:00,27.62,94.11,318.75,26.61,0.49,26.26,143.14,3.17,6.97
2022-07-29,6:00,25.36,99.18,363.83,25.98,0.5,26.4,50.96,3.17,6.99
2022-07-29,5:00,24.85,99.13,450.58,26.05,0.51,26.4,1.75,3.23,6.96
2022-07-29,4:00,24.9,98.47,477.42,26.23,0.51,26.41,0,3.24,6.92
2022-07-29,3:00,25,97.76,471.17,26.5,0.52,26.4,0,3.26,6.87
2022-07-29,2:00,25.25,97.37,449.33,26.85,0.52,26.4,0,3.28,6.82
2022-07-29,1:00,25.51,96.89,426.92,27.19,0.52,26.4,0,3.29,6.76
2022-07-29,0:00,25.66,95.7,404.83,27.56,0.53,26.4,0,3.32,6.68
2022-07-30,23:00,-,-,-,-,-,-,-,-,-
2022-07-30,22:00,-,-,-,-,-,-,-,-,-
2022-07-30,21:00,-,-,-,-,-,-,-,-,-
2022-07-30,20:00,-,-,-,-,-,-,-,-,-
2022-07-30,19:00,28.09,83.23,262.83,29.8,0.57,26.32,5.74,3.65,6.23
2022-07-30,18:00,29.08,79.67,250.75,30.31,0.57,26.37,39.48,3.64,6.2
2022-07-30,17:00,29.53,78.47,245.92,30.55,0.58,26.49,67.77,3.67,6.18
2022-07-30,16:00,29.77,77.13,242.08,30.78,0.59,26.67,80.91,3.66,6.17
2022-07-30,15:00,30.7,71.44,237.42,31.26,0.6,26.96,102.44,3.69,6.17
2022-07-30,14:00,31.79,67.96,235.75,31.59,0.6,26.85,164.67,3.74,6.18
2022-07-30,13:00,32.5,66.99,229.17,31.8,0.59,26.78,179.53,3.73,6.2
2022-07-30,12:00,34.07,60.38,234.58,32.08,0.59,26.73,209.93,3.68,6.27
2022-07-30,11:00,34.11,62.65,235.08,31.72,0.59,26.84,263.33,3.63,6.35
2022-07-30,10:00,34.72,63.77,229.17,31.4,0.57,26.88,336.02,3.39,6.47
2022-07-30,9:00,33.46,69.62,228.83,29.97,0.56,26.78,379.81,3.51,6.54
2022-07-30,8:00,31.17,74.39,243.17,28.4,0.52,25.64,266.18,3.24,6.63
2022-07-30,7:00,28.09,83.04,258.33,27.15,0.51,25.33,156.98,3.5,6.7
2022-07-30,6:00,25.65,92.63,285.67,26.66,0.53,25.5,49.37,3.52,6.69
2022-07-30,5:00,25.15,94.53,305.42,26.91,0.53,25.53,1.67,3.53,6.64
2022-07-30,4:00,25.59,97.33,443.83,27.38,0.54,25.53,0,3.57,6.58
2022-07-30,3:00,25.91,97.27,457.17,27.83,0.53,25.51,0,3.55,6.51
2022-07-30,2:00,26.32,97.27,439.67,28.33,0.55,25.53,0,3.64,6.43
2022-07-30,1:00,26.79,97.3,416.25,28.87,0.55,25.51,0,3.65,6.35
2022-07-30,0:00,27.24,96.86,392.83,29.45,0.55,25.5,0,3.67,6.27
2022-07-31,23:00,26.06,99.1,327.75,27.36,0.54,27.04,0,3.25,6.76
2022-07-31,22:00,26.2,98.8,307.33,27.57,0.54,27.08,0,3.25,6.71
2022-07-31,21:00,26.24,96.84,291.25,27.8,0.54,27.06,0,3.25,6.65
2022-07-31,20:00,26.43,95.09,277.75,28.13,0.54,27.02,0,3.31,6.55
2022-07-31,19:00,26.74,92,263.08,28.56,0.54,27.04,9.52,3.3,6.45
2022-07-31,18:00,27.58,86.33,251.33,29.13,0.55,27.1,31.83,3.31,6.38
2022-07-31,17:00,29.17,79.23,236.5,29.7,0.55,27.22,77.9,3.34,6.38
2022-07-31,16:00,29.86,81.01,228.42,29.79,0.55,27.42,140.66,3.27,6.4
2022-07-31,15:00,30.04,90.9,228,29.63,0.56,27.23,131.87,3.32,6.44
2022-07-31,14:00,29.07,95.83,243.33,29.21,0.56,27.23,112.62,3.39,6.49
2022-07-31,13:00,28.65,96.49,254.17,29.08,0.57,27.18,55.19,3.41,6.46
2022-07-31,12:00,28.91,92.61,247.42,29.04,0.56,26.93,71.35,3.43,6.52
2022-07-31,11:00,29.27,87.1,251,29.1,0.56,27.1,86.45,3.39,6.58
2022-07-31,10:00,30.45,84.33,234,28.79,0.57,27.2,181.2,3.45,6.7
2022-07-31,9:00,30.45,84.33,234,28.79,0.57,27.2,181.2,3.45,6.7
2022-07-31,8:00,-,-,-,-,-,-,-,-,-
2022-07-31,7:00,-,-,-,-,-,-,-,-,-
2022-07-31,6:00,-,-,-,-,-,-,-,-,-
2022-07-31,5:00,-,-,-,-,-,-,-,-,-
2022-07-31,4:00,-,-,-,-,-,-,-,-,-
2022-07-31,3:00,-,-,-,-,-,-,-,-,-
2022-07-31,2:00,-,-,-,-,-,-,-,-,-
2022-07-31,1:00,-,-,-,-,-,-,-,-,-
2022-07-31,0:00,-,-,-,-,-,-,-,-,-
2022-08-01,23:00,27.03,98.88,319.5,28.58,0.54,26.72,0,3.37,6.6
2022-08-01,22:00,27.16,97.03,296.17,28.86,0.54,26.71,0,3.36,6.54
2022-08-01,21:00,27.41,92.98,276.25,29.24,0.55,26.7,0,3.4,6.46
2022-08-01,20:00,27.69,89.2,259.33,29.69,0.55,26.72,0,3.42,6.38
2022-08-01,19:00,28.21,85.76,256.58,30.32,0.56,26.7,0,3.46,6.28
2022-08-01,18:00,29.28,79.03,252.83,30.92,0.56,26.74,13.84,3.45,6.17
2022-08-01,17:00,30.16,74,247.83,31.54,0.57,26.86,36.47,3.5,6.12
2022-08-01,16:00,32.19,68.54,234,32.21,0.55,26.72,106.55,3.34,6.24
2022-08-01,15:00,33.36,65.12,229.83,32.5,0.55,26.93,140.29,3.4,6.24
2022-08-01,14:00,35.19,64.38,222.58,32.59,0.54,27.04,210.26,3.33,6.32
2022-08-01,13:00,34.55,68.26,221.58,32,0.54,27.29,210.95,3.29,6.38
2022-08-01,12:00,34.21,68.01,220.8,31.48,0.52,27.16,254.36,3.21,6.46
2022-08-01,11:00,34.21,68.01,220.8,31.48,0.52,27.16,254.36,3.21,6.46
2022-08-01,10:00,-,-,-,-,-,-,-,-,-
2022-08-01,9:00,31.83,81.93,222.82,28.63,0.52,27.42,348.58,3.12,6.95
2022-08-01,8:00,28.65,93.77,241.83,27.44,0.51,26.78,145.79,3.19,6.97
2022-08-01,7:00,27.05,99.11,272.75,26.83,0.52,26.93,80.42,3.19,6.95
2022-08-01,6:00,25.88,99.1,306.75,26.6,0.53,27,20.47,3.21,6.94
2022-08-01,5:00,25.75,99.13,352.83,26.6,0.53,27,0,3.21,6.91
2022-08-01,4:00,25.84,99.12,405.17,26.71,0.52,27,0,3.18,6.89
2022-08-01,3:00,25.9,99.13,389.58,26.8,0.52,27,0,3.18,6.86
2022-08-01,2:00,25.94,99.11,377.17,26.89,0.53,27.02,0,3.24,6.84
2022-08-01,1:00,25.95,99.1,360.33,27.02,0.53,27.04,0,3.23,6.82
2022-08-01,0:00,25.98,99.1,344.25,27.15,0.53,27.06,0,3.24,6.79
2022-08-02,23:00,26.37,98.59,357.08,28.06,0.52,26.5,0,3.28,6.4
2022-08-02,22:00,26.63,97.4,329.83,28.48,0.53,26.51,0,3.29,6.32
2022-08-02,21:00,27.06,95.83,309.75,28.92,0.53,26.49,0,3.31,6.24
2022-08-02,20:00,27.32,91.53,282.92,29.48,0.53,26.49,0,3.36,6.17
2022-08-02,19:00,28.45,85.83,258.75,30.14,0.54,26.48,12.41,3.36,6.13
2022-08-02,18:00,29.3,80.6,248.58,30.63,0.53,26.53,44.16,3.34,6.14
2022-08-02,17:00,30.41,74.53,235.33,31.14,0.54,26.68,105.94,3.4,6.16
